Noncampuscrime060708[1,2,3].csv
New Concept Massage and Beauty School,Main Campus,2022 SW 1ST ST
New York College of Traditional Chinese Medicine,Mineola,155 First St.
North Florida Institute,Main Campus,560 Wells Road
Northeastern Seminary,Northeastern Seminary,2301 WESTSIDE DR
Bryan College,Main Campus,2317 Gold Meadow Way
Omega Institute of Cosmetology,Main Campus,229-B S HOLLYWOOD RD
Pacific Islands Bible College,Main Campus,172 KINNEYS RD PAGAT
PCI College,Main Campus,17215 STUDEBAKER RD #310
Rosedale Bible College,Main Campus,2270 ROSEDALE RD
St. Francis Career College,Main Campus,3680 E. IMPERIAL HWY 5TH FL. SUITE 500
Seattle Institute of Oriental Medicine,Main Campus,916 NE 65TH ST
Shawnee Beauty College,Main Campus,410 E MAIN ST
Acupuncture and Massage College,Main Campus,10506 N KENDALL DR
Southeastern School of Cosmetology,Main Campus,849 Dennison Ave.
Universal Therapeutic Massage Institute,Main Campus,3410 AZTEC RD NE
Upper Valley Educators Institute,Main Campus,194 Dartmouth College Highway
Keck Graduate Institute,Main Campus,535 Watson Dr
Aviation Institute of Maintenance-Atlanta,Main Campus,500 BRISCOE BLVD
National Beauty College,National Beauty College,354 East Interstate 30 Suite A
Star Technical Institute-Egg Harbor,Branch,3003 English Creek Avenue
Empire Beauty School-Kennesaw,ADDITIONAL LOCATION,425 ERNEST BARRETT PKWY
High-Tech Institute-Nashville,High-Tech Institute - Nashville,560 Royal Parkway
High-Tech Institute-Dallas,High-Tech Institute - Dallas,4250 N Beltline  Rd
Westwood College-River Oaks,Westwood College,80 RIVER OAKS CTR-STE D111
ITT Technical Institute-Green Bay,Main Campus,470 SECURITY BLVD
Career Training Academy,Branch Campus,1500 SHOPPES AT NORTHWAY
Huntingdon County Career and Technology Center,Main Campus,VO TECH DR
Missouri College of Cosmetology North,Main Campus,2555 W KEARNEY
Keyskills Learning,Main Campus,50 MT PROSPECT AVE
Ivy Tech Community College-Bloominton,Main Campus,200 Daniels Way
Midwest University,Main Campus,851 PARR RD
New York Automotive and Diesel Institute,Main Campus,178-18 Liberty Ave
Remington College-Baton Rouge,Main Campus,10551 COURSEY BLVD
Everest College-Ontario Metro,Main Campus,1819 South Excise Avenue
Metropolitan Community College-Blue River,Main Campus,20301 E 78 HWY
Metropolitan Community College-Blue River,Blue River Community College - Blue Springs Campus,1501 West Jefferson Street
Texas Careers-Beaumont,Main Campus,194 GATEWAY
Texas Careers-Laredo,Texas Careers - Laredo Campus,6410 McPherson Rd.
The Art Institute of Washington,The Art Institute of Washington,1820 N FORT MYER DR
Everest Institute-Dearborn,Branch Campus,23400 MICHIGAN AVE - STE 200
Centura College,Centura College Richmond West,7001 W. Broad St.
Arkansas State University-Newport,ASU-Newport,7648 VICTORY BLVD
Arkansas State University-Newport,ASU-Newport Technical Center - Jonesboro,5504 Krueger Drive
Arkansas State University-Newport,ASU-Newport Technical Center - Marked Tree,P.O. Box 280
Marlboro College Graduate Center,Marlboro College Graduate School,28 Vernon Street
University of Phoenix-Boston Campus,Main Campus,100 GROSSMAN DR-STE 201
University of Phoenix-Dallas Fort Worth Campus,Main Campus,12400 COIT RD
University of Phoenix-Houston Westside Campus,Main Campus,11451 Katy Freeway
University of Phoenix-Milwaukee Campus,Main Campus,20075 Watertower Blvd.
University of Phoenix-Idaho Campus,Idaho Main Campus,3080 E. Gentry Way Ste. 150
Westwood College-Inland Empire,Branch Campus,20 W. 7th St
DeVry University-Virginia,Arlington Campus,2450 Crystal Drive
DeVry University-Virginia,Tysons Corner Center,1751 Pinnacle Dr.
DeVry University-Virginia,South Hamptons Road Center,1317 Executive Blvd.
DeVry University-Washington,Federal Way Campus,3600 S 344TH WAY
DeVry University-Washington,Bellevue Center,600-108th Avenue NE
DeVry University-Colorado,Westminster Campus,1870 West 122nd Avenue
DeVry University-Colorado,Colorado Springs Center,1175 Kelly Johnson Blvd.
DeVry University-Colorado,Denver South Center,6312 S. Fiddlers Green Cir. Ste. 150E
Middle Georgia College-Eastman,Middle Georgia College Eastman Campus,71 AIRPORT RD - HEART OF GEORGIA REGIONAL AIRPORT
Louisiana Delta Community College,Louisiana Delta Community College,4014 LaSalle St.
ITT Technical Institute-Bensalem,Main Campus,3330 TILLMAN DR
Atenas College,Main Campus,PASEO DE LA ATENAS  #101 - BOX 365
Southwest Skill Center-Campus of Estrella Mountain Community College,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,3000 N DYSART RD
Onondaga Cortland Madison BOCES,Lee G. Peters Career Training Center,4500 CROWN RD
National American University-Ellsworth AFB Extension,NAU-Ellsworth AFB,1000 Ellsworth Street
National American University-Rio Rancho,NAU-Rio Rancho,1601 RIO RANCHO
National American University-Brooklyn Center,NAU-Brooklyn Center,6120 EARLE BROWN DR - STE 100
Interactive Learning Systems,Interactive Learning Systems,213 W. Southmore  Suite 101
Somerset Christian College,Somerset Christian College,10 College Way
Miami Ad School-Minneapolis,Miami Ad School Minneapolis,25 North 4th Street
Miami Ad School-San Francisco,Branch Campus,415 Jackson Street Suite B
Oregon State University-Cascades Campus,OREGON STATE UNIVERSITY-CASCADES CAMPUS,2600 N.W.COLLEGE WAY
Milan Institute,Milan Institute / Boise,8590 W. Fairview Avenue
Milan Institute,Milan Institute / Nampa,1021 W. Hemingway
Milan Institute,Milan Institute / Amarillo,7001 I-40 West
Vatterott Career College-Memphis,Vatterott Career College,2655 Dividend Drive
Vatterott College-Tulsa,Main Campus,4343 S. 118th E. Ave.
Vatterott College-Wichita,Wichita Campus,8853 E. 37th Street North
Star Technical Institute - Newark,Branch Campus,550 Broad Street 2nd Floor
Southern University Law Center,Main Campus(Law Center),PO BOX 9294
International Academy of Design and Technology,Main Campus,Orlando
Lincoln Technical Institute,Branch Campus,211 PLAIN ST
Katharine Gibbs School,Norristown Campus,2501 MONROE BLVD
Everest College-Vancouver Campus,Everest College- Vancouver Campus,120 NE 136TH AVE- STE 220
Texas Barber Colleges and Hairstyling Schools,Main Campus,9275 RICHMOND AVE #180
Texas Barber Colleges and Hairstyling Schools,Texas Barber Colleges and Hairstyling Schools #1,5148 South Lancaster
Texas Barber Colleges and Hairstyling Schools,Texas Barber College and Hairstyling School #2,9888 Ferguson #101
Texas Barber Colleges and Hairstyling Schools,Texas Barber Colleges and Hairstyling Schools #6,9275 Richmond Avenue #168
Texas Barber Colleges and Hairstyling Schools,Texas Barber Colleges and Hairstyling Schools #5,610 West Cavalcade
Texas Barber Colleges and Hairstyling Schools,Texas Barber Colleges and Hairstyling Schools #7,1212 D South Frazier
Everest Institute-Hobby,Houston-Hobby Campus,7151 OFFICE CITY DRIVE
Miller-Motte Technical College,Main Campus,8085 RIVERS AVE-STE 5
American Career College,American Career College,1200 N MAGNOLIA AVE
Remington College-Jacksonville Campus,Remington College - Jacksonville Campus,c/o RASI
Saginaw Chippewa Tribal College,Main Campus,2274 ENTERPRISE DR
Wyo Tech-Blairsville,WyoTech,500 Innovation Drive
Richmont Graduate University,Chattanooga Campus,1815 MCCALLIE AVE
Richmont Graduate University,Atlanta Campus,McCarty Building - 2055 Mount Paran Road NW
Mars Hill Graduate School,Main Campus,2501 Elliott Avenue
Northwest College of Hair Design,Branch Campus,210 SE 4TH STREET
San Diego State University-Imperial Valley Campus,Imperial Valley Campus,720 HEBER AVE
American Broadcasting School,Arlington Campus,712 N WATSON ROAD
Miami-Jacobs Career College,Branch,630  MAIN STREET
East Valley Institute of Technology,East Valley Institute of Technology,1601 W MAIN ST
West Coast Ultrasound Institute,Main Campus,291 S LA CIENEGA BLVD STE 500
City of Hope Graduate School of Biological Science,Main Campus,1500 E DUARTE RD
Design's School of Cosmetology,Main Campus,715 24TH ST STE E
Paul Mitchell the School-Santa Barbara,Paul Mitchell the School,Santa Barbara Campus
University of the Rockies,Main Campus,555 E PIKES PEAK AVE
Eli Whitney Regional Vocational Technical School,Eli Whitney Regional Vocational Technical School,71 Jones Rd
Vinal Regional Vocational-Technical School,Vinal Technical High School,60 Daniels St
Windham Regional Vocational Technical School,Windham Regional Vocational Technical School,210 Birch St
Harris School of Business-Wilmington Campus,Main Campus,1413 Foulk Road
Ultimate Medical Academy,Main Campus,1218 COURT ST STE C
Florida Barber Academy,Florida Barber Academy,3269 North Federal Highway
Angley College,Main Campus,1700 S WOODLAND BLVD
Jacksonville Beauty Institute,Main Campus Jacksonville Beauty Institute,5045 SOUTEL DR STE 80
M-DCPS The English Center,Main Campus,3501 SW 28 ST
Florida Education Institute,Main Campus,5818 SW 8 Street
Superior Career Institute,Main Campus,3714 W Oakland Park Blvd
Florida Institute of Animal Arts,Main Campus,3776 HOWELL BRANCH RD
Powder Springs Beauty College,Main Campus,4114 AUSTELL-POWDER SPRINGS RD
National Graduate School of Quality Management,NATIONAL GRADUATE SCHOOL OF QUALITY  MGMT,186 JONES RD
National Graduate School of Quality Management,Ft Myer Army Education Center,108 Sheridan Avenue - Building 415
National Graduate School of Quality Management,USCG Yard - Baltimore,MD
National Graduate School of Quality Management,USCG Headquarters,Wash DC
National Graduate School of Quality Management,USCG  Pacific Area - Alameda,CA
National Graduate School of Quality Management,UTC San Diego,California
National Graduate School of Quality Management,UTC Rockford,Illinois
National Graduate School of Quality Management,UTC Farmington,Connecticut
National Graduate School of Quality Management,UTC West Palm Beach,Florida
National Graduate School of Quality Management,Boeing - Ridley Park,Pennsylvania
National Graduate School of Quality Management,UTC-Canoga Park,CA
National Graduate School of Quality Management,UTC Kennedy Space Center,FL
National Graduate School of Quality Management,UTC Stennis,MS
National Graduate School of Quality Management,UTC Huntsville,AL
National Graduate School of Quality Management,Boeing - Fort Walton,FL
National Graduate School of Quality Management,Boeing - San Antonio,TX
National Graduate School of Quality Management,Boeing - St. Louis,MO
National Graduate School of Quality Management,UTC - York,NE
Texas County Technical Institute,Main Campus,6915 S HWY 63
Aviation Institute of Maintenance-Kansas City,Main Campus,4100 Raytown Road
Blue Cliff College,Main Campus,12251 Bernard Parkway
Apex School of Theology,Main Campus,2945 South Miami Blvd Ste 114
Institute for Therapeutic Massage,Main Campus,1069 Ringwood Avenue
Cortiva Institute-Somerset School of Massage Therapy,Piscataway,180 Centennial Ave
Cortiva Institute-Somerset School of Massage Therapy,Wall Township Campus,1985 Highway 34
Metropolitan Learning Institute,Main Campus,97-45 QUEENS BLVD STE 401
Anthem Institute - Manhattan,Anthem Institute - Manhattan,498 7th Avenue
Orleans Niagara BOCES-Practical Nursing Program,Main Campus,3181 Saunders Settlement Rd
Yeshiva Shaarei Torah of Rockland,Main Campus,91 W CARLTON RD
Leon Studio 1 School of Hair Design & Career Training Center,Main Campus,5221 MAIN ST
St Joseph's Medical Center School of Radiography,Main Campus,127 S BROADWAY
American Institute of Alternative Medicine,Main Campus,6685 DOUBLETREE AVE
Brown Aveda Institute,Main Campus,8816 MENTOR AVE
Tri-State College,Main Campus,9159 MARKET ST STE 26
Valley Medical College,Main Campus,4707 Silverton RD
Susquehanna County Career and Technology Center,Susquehanna County Career and Technology Center,Schoolhouse Rd
Colegio Pentecostal Mizpa,Colegio Pentecostal Mizpa,BO CAIMITO RD 199 BOX 20966
Caribbean Forensic and Technical College,Caribbean Forensic & Technical College,PASEO DE DIEGO ST #5 2ND & 3RD FL
Charleston School of Massage,Main Campus,778 FOLLY RD
Concorde Career Institute,Concorde Career Institute,600 East Lamar Blvd. Ste 200
Kussad Institute of Court Reporting,Main Campus,2800 SOUTH IH35 STE 110
Lamar Institute of Technology,Main Campus,855 E LAVACA
MJ's Beauty Academy Inc,Main Campus,3939 S POLK STE 505
Aviation Institute of Maintenance-Dallas,Main Campus,7555 Lemmon Ave
State Beauty Academy,Main Campus,663 ORIOLE BLVD
Healing Mountain Massage School,Main Campus,455 S 300 E #103
Healing Mountain Massage School,Healing Mountain Massage School - Cedar City Campus,297 North Cove Dr
Career Training Solutions,Main Campus,100 Riverside Parkway
Rudy & Kelly Academy of Hair and Nails,RUDY & KELLY ACADEMY -Paul Mitchell Partner School,1920 Centerville Turnpike
South Branch Career and Technical Center,South Branch Career and Technical Center,401 Pierpont St
Nevada State College,Main Campus,303 Water Street
Nevada State College,Water Street Campus,311 Water Street
Virginia College-Jackson,Virginia College at Jackson,4795 INTERSTATE 55 N
Virginia College-Austin,Virginia College at Austin,6301 E HIGHWAY 290
California State University-Channel Islands,California State University Channel Islands,ONE UNIVERSITY DR
ITT Technical Institute-Springfield,Main Campus,7300 BOSTON BLVD
ITT Technical Institute-Chantilly,Main Campus,14420 ALBEMARLE POINT PL
The Art Institute of California-Orange County,The Art Institute of California - Orange County,3601 W SUNFLOWER AVE
Franklin W. Olin College of Engineering,Main Campus,1000 Olin Way
Metropolitan Community College-Business & Technology,Main Campus,1775 Universal Avenue
Lincoln Technical Institute,Main Campus,2180 HORNIG RD
Lincoln Technical Institute,LINCOLN TECHNICAL INSTITUTE,3600 MARKET ST
Won Institute of Graduate Studies,Main Campus,137 S Easton Rd
Lincoln Technical Institute,Lincoln Technical Institute,160 EAST ROUTE 4
HRDE-Stanley Technical Institute-Hinton,Main Campus,215 Ballangee Street
Pima Medical Institute-Colorado Springs,Main Campus,3770 Citadel Drive North
University of Phoenix-Kansas City Campus,Kansas City Campus,901 E 104TH ST-STE 200
University of Phoenix-Kansas City Campus,Lenexa Learning Center,8345 Lenexa Dr. Suite 200
University of Phoenix-Kansas City Campus,Northland Learning Center,10150 NW Ambassador Dr. Suite 600
University of Phoenix-Atlanta Campus,Main Campus,8200 ROBERTS DR-STE 300
University of Phoenix-Atlanta Campus,Alpharetta Learning Center,1725 Winward Concourse
University of Phoenix-Atlanta Campus,Gwinnett Learning Center,2470 Satellite Blvd
University of Phoenix-Atlanta Campus,Marietta Learning Center,1850 Parkway Place
University of Phoenix-Chicago Campus,Main Campus,1500 MCCONNOR PKWY-STE 700
University of Phoenix-Chicago Campus,Warrenville Learning Center,4525 Weaver Pkwy-Ste 100
University of Phoenix-Chicago Campus,The Loop Learning Center,203 N LaSalle St - Suite 1300
University of Phoenix-Chicago Campus,Tinley Park/Mokena,19427 Hickory Creek Dr. Suite 220
University of Phoenix-Nashville Campus,Main Campus,616 MARRIOTT DR-STE 150
University of Phoenix-Nashville Campus,University of Phoenix,Franklin Learning Center
University of Phoenix-Northern Virginia Campus,Reston Campus,11730 PLAZA AMERICA DR-STE 200
United Beauty College Inc,United Beauty College,10229 LOWER AZUSA ROAD
Birthwise Midwifery School,Main Campus,24 South High Street
Argosy University-Dallas,Argosy University - Dallas,5001 LBJ Freeway
Orlando Culinary Academy,Orlando Culinary Academy,8511 COMMODITY CIR
Paul Mitchell the School-Costa Mesa,Paul Mitchell the School,Costa Mesa Campus
Ave Maria School of Law,Ave Maria School of Law,1025 Commons Circle
Everest College-Arlington,EVEREST COLLEGE,801 N QUINCY ST-STE 500
Tulsa Welding School-Jacksonville Campus,JAX Campus,3500 SOUTHSIDE BLVD
ITT Technical Institute-Canton,Main Campus,1905 S. HAGGERTY RD
ITT Technical Institute-King of Prussia,Main Campus,760 MOORE RD
Lancaster General College of Nursing & Health Sciences,Main Campus,410 N Lime Street
DeVry University-North Carolina,Charlotte Center,2015 Ayrsley Town Blvd.
DeVry University-North Carolina,Raleigh-Durham Center,1600 Perimeter Park Dr
West Virginia Junior College-Bridgeport,WEST VIRGINIA JUNIOR COLLEGE-BRIDGEPORT,176 Thompson Drive
Antioch University PhD Program in Leadership and Change,Main Campus,150 E SOUTH COLLEGE ST
Vatterott College-Cleveland,Vatterott College,5025 E ROYALTON RD
St Louis College of Health Careers,Branch Campus,1297 North Highway Drive
Interactive College of Technology,Branch Campus,2323-C BROWNS BRIDGE RD
San Joaquin Valley College-Rancho Cucamonga,Cucamonga Campus,10641 CHURCH ST
Anthem Institute-Cherry Hill,Anthem Institute - Cherry Hill,2100 Route 38 and Mall Drive
Westwood College-Ft Worth,Main Campus - DLF,4232 North Freeway
Westwood College-Dallas,Dallas Campus,8390 LBJ FRWY
CoxHealth School of Diagnostic Medical Sonography,Main Campus,1423 N. Jefferson
CoxHealth School of Diagnostic Medical Sonography,Cox-South,3801 S. National
CoxHealth School of Diagnostic Medical Sonography,Cox-Walnut Lawn,1000 E. Walnut Lawn
Minnesota School of Business,Plymouth Branch Campus,1455 COUNTY RD 101 NORTH
NASCAR Technical Institute,NASCAR Technical Institute,220 BYERS CREEK RD
Everest Institute-Tigard,Branch Campus,9600 SW OAK ST
Potomac College,Potomac College - Herndon Campus,1029 HERNDON PKWY
High-Tech Institute-Las Vegas,High-Tech Institute - Las Vegas,2320 S. Rancho Drive
Milan Institute,Milan Institute / Indio (Branch),45-691 Monroe Ave. Suite 2
Stenotype Institute of Jacksonville Inc,Orlando Campus,1636 W OAKRIDGE RD
National American University-Overland Park,NAU-Overland Park,10310 MASTIN
Everest Institute-Austin,Everest -Austin,9100 US Hwy 290 East Suite 100
Everest College-Burr Ridge,Everest College,6880 North Frontage Road
Medvance Institute-West Palm,MedVance Institute - West Palm Beach,1630 South Congress Avenue
Tohono O'Odham Community College,Main Campus,HIGHWAY 86
Everest College-Dallas,Everest College - Dallas (Main Campus),6080 NORTH CENTRAL EXPRESSWAY
Edward Via Virginia College of Osteopathic Medicine,Main Campus,2265 KRAFT DR
The Salter School-Malden Campus,Malden Campus,2 FLORENCE ST
DeVry University-Pennsylvania,Ft Washington Campus,1140 VIRGINIA DR
DeVry University-Pennsylvania,Center City Center,1800 JFK Blvd. Ste. 1200
DeVry University-Pennsylvania,Pittsburgh Center,210 Sixth Ave. Ste 200
DeVry University-Pennsylvania,Valley Forge Center,701 Lee Rd
Utah State University-Continuing Education,Main Campus,1400 Old Main Hill
Pacific College of Oriental Medicine,Main Campus,3646 N BROADWAY-2ND FLOOR
Ronny J's Barber Styling,RONNY J'S BARBER STYLING,9009 Bruton Rd. Ste.443
Southwest Institute of Healing Arts,Main Campus,1100 EAST APACHE BLVD
Intercoast Colleges,Riverside Branch Campus,1989 Atlanta Ave
Ottawa University-Jeffersonville,Main Campus,287 Quarter Master Court
Academy of Cosmetology,Academy of Cosmetology,1901 W Wm. Cannon Ste 143
Andrews Academy of Cosmetology,Main Campus,100 W MAIN ST
Antelope Valley Medical College,Main Campus,44201 10TH ST WEST
Birthingway College of Midwifery,Main Campus,12113 SE FOSTER RD
Blue Water College of Cosmetology Inc,Main Campus,1871 GRATIOT BLVD
Pima Medical Institute,Main Campus,2301 San Pedro NE Duite D
Brighton Center's Center for Employment Training,Main Campus,601 WASHINGTON AVE.
California Healing Arts College,Main Campus,12217 SANTA MONICA BLVD
Dallas Barber & Stylist College,Main Campus DALLAS BARBER AND STYLIST COLLEGE,9357 FOREST LANE
NorthShore University HealthSystems School of Nurse Anesthesia,Main Campus,2650 RIDGE AVE
Faith Evangelical Seminary,Main Campus,3504 N PEARL ST
Family of Faith College,Main Campus,30 KINVILLE
Hood Theological Seminary,Hood Theological Seminary,1810 Lutheran Synod Drive
Instituto Pre-Vocacional e Indust de Puerto Rico,INSTITUTO PREVOCACIONAL E INDUST DE PUERTO RICO,CALLE EUGENIO MARIA DE HOSTOS #175
Irene's Myomassology Institute,Main Campus,26061 FRANKLIN RD
Jay's Technical Institute,Main Campus,9000 WEST BELLFORT
Mr John's School of Cosmetology & Nails,Main Campus,1429 S MAIN ST
NTMA Training Centers of Southern California,Main Campus,14926 BLOOMFIELD AVE
NTMA Training Centers of Southern California,NTMA Training Centers,Ontario
PC Age,Main Campus,2815 Kennedy Blvd
PC Age II,Branch Campus,145 Talmadge Rd
American Institute-School of Health Careers,Main Campus,3190 N STATE RD 7
School of Health Careers,American Institute,416 E Atlantic Blvd.
South Florida Institute of Technology,Main Campus,720 NW 27th Avenue 2nd. Floor
Southeastern School of Neuromuscular Massage-Charleston,Main Campus,4600 GOER DR
Southeastern School of Neuromuscular Massage-Jacksonville,Main Campus,9424 BAYMEADOWS RD
Toni & Guy Hairdressing Academy,Main Campus,322 MAIN ST
Trend Barber College,Main Campus,8250 West BELLFORT
Valley Grande Institute for Academic Studies,Administration Building,345 S. TEXAS BLVD.
West Coast University,Main Campus,4021 ROSEWOOD AVE
Williamson Christian College,Main Campus,200 SEABOARD LA
International Barber & Style College,Main Campus,3744 Annex Avenue
Triangle Tech Inc-Sunbury,Sunbury,191 Performance Road
DigiPen Institute of Technology,Main Campus,5001-150TH AVE NE
California College of Vocational Careers,Main Campus,1901 Chester Ave     Suite 201
Medvance Institute-Fort Lauderdale,MedVance Institute of  Ft. Lauderdale,4850 West Oakland Park Blvd
University of Phoenix-Cincinnati Campus,Cincinnati Main Campus,9050 Centre Point Drive Suie 250
University of Phoenix-Cincinnati Campus,Dayton Learning Center,7691 Poe Avenue
University of Phoenix-Cincinnati Campus,Florence-Kentucky Learning Center,500 Meijer Drive Suite 100
University of Phoenix-Wichita Campus,Main Campus,3020 N CYPRESS DR-STE 150
University of Phoenix-Charlotte Campus,Main Campus,3800 ARCO CORPORATE DR-STE 100
University of Phoenix-Charlotte Campus,University of Phoenix-Charlotte North Learning,10925 David Taylor Drive
Connecticut Center for Massage Therapy-Groton,Branch Campus,1154 POQUONNOCK RD
Pierpont Community and Technical College,Pierpont Community and Technical College,1201 LOCUST AVE
Universal College of Beauty Inc,Branch Campus,718 WEST COMPTON BLVD
ITT Technical Institute-Duluth,Main Campus,10700 ABBOTS BRIDGE RD-STE 190
ITT Technical Institute-Hilliard,Main Campus,3781 PARK MILL RUN DR-STE 1
University of Phoenix-Indianapolis Campus,Indianapolis Campus,7999 KNUE RD DR
Career Institute of Health and Technology,Brooklyn Campus,340 FLATBUSH AVE EXT-3RD FLOOR
John Dewey College-University Division,JOHN DEWEY COLLEGE,BARBOSA AVE 3427 3RD FL - MALCO BLDG
Intercoast Colleges,West Covina Campus,1400 West Covina Parkway  2nd FLoor
Texas School of Business East Inc,Main Campus,12030 EAST FREEWAY
Le Cordon Bleu College of Culinary Arts-Atlanta,Main Campus,1927 Lakeside Parkway
Ohio Center for Broadcasting-Colorado Campus,Ohio Center for Broadcasting-Colorado Campus,404 South Upham Street
Paul Mitchell the School-Rhode Island,Rhode Island Campus,379 Atwood Ave
Miller-Motte Technical College-Chattanooga,Miller-Motte Technical College,6020 Shallowford Road
Milan Institute,Milan Institute / Sparks,950 Industrial Way
Blaine the Beauty Career Schools-Framingham,BRANCH CAMPUS,624 WORCESTER RD
Westwood College-Chicago Loop,Main Campus - CHL,17 N STATE ST-STE 300
Interactive Learning Systems,Greenspoint Campus,256 N Sam Houston Pkwy
Bexley Hall Episcopal Seminary,Columbus Campus,583 Sheridan Avenue
High-Tech Institute-Atlanta,High-Tech Institute Atlanta,2450 Piedmont Road NE
Allied College South,Allied College - South,645 Gravois Bluffs Blvd
Everest Institute-Norcross,Everest Institute,1750 BEAVER RUIN RD-STE 500
Career Centers of Texas-Brownsville,Main Campus,1900 North Expressway
Career Centers of Texas-Corpus Christi,Main Campus,1620 S. Padre Island Drive
American Professional Institute,Main Campus,1990 Riverside Dr
Everest College-Arlington,Everest College,MidCities Campus
Gemological Institute of America-Los Angeles,Los Angeles Branch,600 Corporate Pointe Suite 100
University of Phoenix-Eastern Washington Campus,Main Campus,8775 E Mission Ave
University of Phoenix-Columbus Georgia Campus,Main Campus,4747 HAMILTON RD
University of Phoenix-Memphis Campus,Main Campus,65 Germantown Ct Suite 100
University of Phoenix-Columbus Ohio Campus,Main Campus,8415 Pulsar Place-Ste 100
University of Phoenix-Central Massachusetts Campus,Main Campus,One Research Drive
University of Phoenix-Little Rock Campus,Little Rock Campus,10800 Financial Centre Parkway-Ste 500
Toni and Guy Hair Academy,Branch Campus,5244 W. Overland Road
Charlie's Guard-Detective Bureau and Academy Inc,Main Campus,Road 107 Km 3.1 Bo. Borinquen
The Salon Professional Academy,Main Campus,4411 Winnetka Ave N
DeVry University-Nevada,Henderson Center,2490 Paseo Verde Parkway
Everest College-Chicago,Branch Campus,247 South State Street
Everest College-Tacoma,Everest College #398,2156 Pacific Avenue
DeVry University-Oregon,Portland Center,9755 SW Barnes Road
National College of Business and Technology-Rio Grande,Branch Campus,PO Box 3064
Creative Images Institute of Cosmetology,Main Campus,568 MIAMISBURG-CENTRVILLE RD
Westwood College-Houston South,Main Campus,7322 Southwest Fwy Suite 1900
North Florida Institute-Jacksonville,Branch Campus,5995-2 UNIVERSITY BLVD WEST
IIA College,Brookline College - Albuquerque Campus,4201 Central Avenue NW
Remington College-Cleveland West Campus,Main Campus,26350 Brookpark Road
Colorado Technical University Online,Colorado Technical University Online,4435 N. Chestnut
Baker College of Allen Park,Main Campus,4500 ENTERPRISE DR
Americare School of Allied Health,Main Campus,11141 GEORGIA AVE #418
Bayamon Community College,Main Campus,17 MACEO ST
Harris School of Business-Dover,Harris School of Business Dover,97 Commerce Way
Folsom Lake College,Folsom Lake College - Main Campus,10 College Parkway
LeGrand Institute of Cosmetology Inc,Main Campus,2418 BROAD ST
Everest Institute-Detroit,Detroit,300 RIVER PLACE DR-STE 1000
Draughons Junior College-Murfreesboro,Draughons Junior College,415 Golden Bear Court
Cambridge Technical Institute,Main Campus,Avenida Roosevelt #1255
Southern Careers Institute Inc-Laredo,Main Campus,4805 MAHER
Empire Beauty School-Midlothian,ADDITIONAL LOCATION,10807 HULL STREET RD
Empire Beauty School-Owings Mills,ADDITIONAL LOCATION,9616 REISTERSTOWN RD Suite 105
Empire Beauty School-West Mifflin,ADDITIONAL LOCATION,2393 MOUNTAIN VIEW DR
Academy of Nail Skin and Hair Inc,Academy of Nail,Skin & Hair
ATI College,Main Campus,12440 FIRESTONE BLVD STE 2001
Advance Science Institute,Main Campus,3750 W 12 AVE
Advanced College,ADVANCED COLLEGE,13180 Paramount Boulevard
Advanced Tech College,ADVANCE TECH COLLEGE,BARBOSA ST #53
Advanced Training Associates,Main Campus,1810 Gillespie Way
American Advanced Technicians Institute,Main Campus,6801 W 20TH ST
Anamarc Educational Institute,Main Campus,3210 DYER
Baptist University of the Americas,Main Campus,8019 PAN AM EXPWY
The Beauty Institute,Main Campus,2215 N MILITARY TRL # I
Beis Medrash Heichal Dovid,Main Campus,257 BEACH 17TH ST
Bellefonte Academy of Beauty,Main Campus,420 BELFONT ST
Blue Cliff Career College,Main Campus,2970 Cottage Hill Rd. Suite 175
Burlington Technical Center,Main Campus,52 INSTITUTE RD
Career Beauty College,Main Campus,110 WATERLOO ST
Carnegie Institute of Integrative Medicine and Massotherapy,Main,1292 WATERLOO RD
Carolina Academy of Cosmetic Art & Science,Main Campus,284 E GARRISON BLVD
Northwest Hair Academy,Chetta's Academy of Hair and Nails,1222 E Front St
CES College,CES College,725 S. Glendale Ave. #D
Computer Tutor Business and Technical Institute,Main Campus,4306 SISK RD
Court Reporting Institute of Louisiana,Main Campus,12090 S. Harrells Ferry Road
Culinary Academy of Austin,Main Campus-Culinary Academy of Austin,6020-B Dillard Circle
Culinary Institute Alain and Marie Lenotre,Main Campus,7070 Allensby
Dade Medical College,Main Campus,3721-1 NW 7TH ST
Escuela Hotelera de San Juan,ESCUELA HOTELERA DE SAN JUAN,229 GUAYAMA ST
Expertise Cosmetology Institute,Main Campus,1911 Stella Lake Street
Paul Mitchell The School-Monroe,Main Campus,1008 4th Ave West
Hawaii Technology Institute,Main Campus,629 POHUKAINA ST
Healing Arts Institute,Main Campus,340 THREE MEADOWS DR
Health Works Institute,Main Campus,111 S GRAND AVE ANNEX 3
In Session Arts of Cosmetology Beauty School,Main Campus,7212 GRATIOT RD
Moore Career College,Main Campus,6160 PERKINS RD STE 205
Industrial Technical College,Main Campus,NO 16 CARRERAS ST
Institute of Beauty Occupation and Technology Course,Main Campus,500 CALLE CONCEPCION VERA
Institute of Clinical Acupuncture & Oriental Med,Main Campus,100 N. Beretania Street
Institute of Hair Design,Main Campus,1601 1/2 N HARRISON
