Noncampuscrime060708[1,2,3].csv
Roberto-Venn School of Luthiery,Main Campus,4011 S 16TH ST
Hair Academy of Safford,Main Campus,1550 WEST THATCHER BLVD
Scottsdale Community College,Main Campus,9000 E CHAPARRAL RD
South Mountain Community College,SOUTH MOUNTAIN COMMUNITY COLLEGE,7050 S 24TH ST
Southwestern College,Main Campus,2625 E CACTUS RD
Tucson College,Main Campus,7310 E 22ND ST
Universal Technical Institute of Arizona Inc,Universal Technical Institute of Arizona,Inc.
Western International University,Phoenix Campus,9215 N BLACK CYN HWY
Western International University,Chandler,55 N. Arizona Place
Western International University,Fort Huachuca,Buffalo Soldier Train/Educat Ctr
Western International University,Scottsdale Campus,8860 E. Chaparral
Western International University,Peoria Campus,14100 North 83rd Avenue
Empire Beauty School-NW Phoenix,Main Campus,10820 North 43rd Avenue
Yavapai College,Yavapai College - Prescott Campus,1100 E Sheldon St
Yavapai College,Yavapai College -Verde Campus,601 Black Hills Dr.
Yavapai College,Yavapai College - Chino Agribusiness,2275 Old Home Manor Way
Yavapai College,Yavapai College - Prescott Valley Extension,6955 Panther Path
Yavapai College,Yavapai College - Sedona Center,4215 Arts Village Dr.
Yavapai College,Yavapai College - CTEC Campus,220 Ruger Rd.
University of Arkansas at Little Rock,University of Arkansas,Little Rock
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 601
Arkadelphia Beauty College,ABC Beauty College,2708 W PINE
Arkansas Baptist College,Arkansas Baptist College,1621 Martin Luther King Drive
Arkansas Beauty School,Main Campus,5108 BASELINE RD
Arkansas Beauty College,Main Campus,109 N Commerce St
Lyon College,Main Campus,2300 HIGHLAND ROAD
Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,200 E WASHINGTON AVE
Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,2500 S. State Street
Arthur's Beauty College Inc-Fort Smith,Arthurs Beauty College-Fort Smith,2000 NORTH B ST
University of Arkansas Main Campus,Main Campus,ADMINISTRATION BLDG 422
University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967
Arkansas State University-Beebe,Main Campus,1000 IOWA STREET
Arkansas State University-Main Campus,Jonesboro,2105 E. Aggie Road
Arkansas Tech University,Main Campus,Hwy 7 North
Arkansas Tech University,Arkansas Tech University - Ozark Campus,Hwy. 23
University of Arkansas at Monticello,University of Arkansas at Monticello,Highway 425 South
Arthur's Beauty College Inc,Arthur's Beauty College,Inc.-Jacksonville
Baptist Health Schools-Little Rock,Main Campus,11900 COL GLENN RD STE 1000
Bee Jays Academy,Bee Jay's Hairstyling Academy 1,1907 HINSON LOOP
Bee Jays Academy,BEE JAYS ACADEMY,130 W MAIN ST
Black River Technical College,Main Campus,1410 HWY 304
University of Central Arkansas,Main Campus,201 DONAGHEY AVE
Central Baptist College,Main Campus,1501 COLLEGE AVE
Blytheville Academy of Cosmetology,Main Campus,100 E MAIN ST
Cossatot Community College of the University of Arkansas,Main Campus,183 College Drive
Crowley's Ridge College,Main Campus,100 COLLEGE DR
Crowleys Ridge Technical Institute,Main Campus,1620 Newcastle Road
De Luxe Beauty School,Deluxe Beauty School Main Campus,1609 west 26th
East Arkansas Community College,East Arkansas Community College,1700 NEWCASTLE RD
Eastern College of Health Vocations,Main Campus,6423 FORBING RD
Imagine-Paul Mitchell Partner School,Main campus,4201 E McCain Blvd
National Park Community College,Main Campus,101 COLLEGE DR
University of Arkansas Community College-Batesville,Main Campus,2005 White Drive
Harding University,Main Campus,900 E. Center
Harding University,North Little Rock Professional Center,Suite 113
Harding University,Northwest Arkansas Professional Center,1803 Phyllis Street
Harding University,Harding University-Athens Greece,37 KLM Porto Rafti Avenue
Harding University,Harding University-Florence Italy,Via Triozzi 57
Henderson State University,Main Campus,1100 HENDERSON ST
Hendrix College,Main Campus,1600 WASHINGTON AVE
Hot Springs Beauty College,Hot Springs Beauty College,100 Cones Rd
