Noncampuscrime060708[1,2,3,4].csv
Bridges Academy of Beauty,Main Campus,423 E Main St,Barstow
Barstow Community College,Barstow Community College,2700 BARSTOW RD,BARSTOW
Bay Vista College of Beauty,Main Campus,1520 PLAZA BLVD,NATIONAL CITY
Bethany University,Main Campus,800 BETHANY DR,SCOTTS VALLEY
Bethesda Christian University,Main Campus,730 N. Euclid St.,Anaheim
Biola University,Main Campus,13800 BIOLA AVE,LA MIRADA
Biola University,Chino,3560 Grand Ave.,Chino Hills
Biola University,Inglewood,Faithful Central Bible Church 333 W. Florence Ave.,Inglewood
Biola University,Thousand Oaks,625 W. Hillcrest Dr.,Thousand Oaks
Biola University,San Diego,1800 Thibodo RD,Vista
Biola University,San Bernardino,1911 Commerce Center East,San Bernandino
Biola University,Laguna Hills,24422 Avenida de la Carlota,Laguna Hills
Brooks College,Main Campus - Long Beach,4825 E PACIFIC CST HWY,LONG BEACH
Brooks Institute,Main Campus,27 East Cota Street,SANTA BARBARA
Brooks Institute,Ventura Branch,5301 Ventura Avenue,Ventura
Brownson Technical School,Main Campus,1110 TECHNOLOGY CIR STE D,ANAHEIM
Bryan College,Main Campus,3580 Wilshire Blvd suite 400,LOS ANGELES
Butte College,Main Campus,3536 Butte Campus Drive,Oroville
Phillips Graduate Institute,Main Campus,5445 BALBOA BLVD,ENCINO
California Institute of Integral Studies,Main Campus,1453 MISSION ST,SAN FRANCISCO
California Institute of Integral Studies,Minna Street Center,695 Minna Street,San Francisco
California Institute of Integral Studies,CIIS at Fox Plaza,1390 Market Street,Suite 11
Cabrillo College,Aptos Campus,6500 SOQUEL DR,APTOS
Cabrillo College,Watsonville Center,318 Union St.,Watsonville
Cabrillo College,Cabrillo College - Scotts Valley Campus,104 Whispering Pines Dr.,Scotts Valley
California Baptist University,Main Campus,8432 MAGNOLIA AVE,RIVERSIDE
California Baptist University,California Baptist University,San Bernardino Site,225 west hospitality lane
California Baptist University,California Baptist University,Hesperia Site,9280 Maple Avenue
California Baptist University,California Baptist University,Beaumont site,10420 Beaumont Avenue
California College of the Arts,Oakland Campus,5212 BROADWAY,OAKLAND
California College of the Arts,San Francisco Campus,1111 8th Street,San Francisco
University of California Hastings College of Law,Main Campus,200 McALLISTER ST.,SAN FRANCISCO
California Institute of Technology,Main Campus,1200 E CALIFORNIA BLVD,PASADENA
California Lutheran University,Main Campus,60 W OLSEN RD,THOUSAND OAKS
California Lutheran University,California Lutheran University Oxnard Campus,2201 Outlet Center Drive,Suite 600
California Polytechnic State University-San Luis Obispo,Main Campus,1 Grand Avenue,SAN LUIS OBISPO
Alliant International University,Main Campus,10455 POMERADO ROAD,SAN DIEGO
Alliant International University,Alliant International University - Fresno,5130 E. Clinton Way,Fresno
Alliant International University,Alliant International University - Alhambra,1000 South Fremont Ave,Unit 5
Alliant International University,Alliant International University - San Francisco,One Beach Street,Suite 200
Alliant International University,Alliant University - Irvine,2500 Michelson Dr. Suite 250,Irviine
Alliant International University,Alliant University - Sacramento,2090 W. El Camino Ave,Suite 200
California State University-Bakersfield,Main Campus,9001 STOCKDALE HWY,BAKERSFIELD
California State University-Stanislaus,CSU Stanislaus - Turlock,One University Circle,TURLOCK
California State University-Stanislaus,CSU Stanislaus - Stockton,510 E. Magnolia,Stockton
California State University-San Bernardino,California State University,San Bernardino,5500 University Pkwy.
California State University-San Bernardino,Palm Desert Satellite Campus,37-500 Cook St,Palm Desert
California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE,POMONA
California State University-Chico,Main Campus,400 W. 1st  St,Chico
California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST,CARSON
California State University-Fresno,Main Campus,5200 N BARTON AVE,FRESNO
California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD,FULLERTON
California State University-Fullerton,Garden Grove Center for Higher Education,12901 EUCLID ST,GARDEN GROVE
California State University-Fullerton,Santa Ana Central Arts,125 N. BROADWAY STE. A,SANTA ANA
California State University-Fullerton,Irvine Campus,7320 Trabucco Road,Irvine
California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD,HAYWARD
California State University-East Bay,Contra Costa Campus,4700 Ygnacio Valley Rd,Concord
California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD,LONG BEACH
California State University-Los Angeles,Main Campus,5151 STATE UNIVERSITY DR,LOS ANGELES
California State University-Northridge,California State University,Northridge,18111 NORDHOFF ST
California State University-Sacramento,Sacramento State,6000 J Street,Sacramento
University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall,Berkeley
University of California-Berkeley,University of California Washington Academic Cente,1608 Rhode Island Avenue,NW Washington
University of California-Davis,Main Campus,One Shields Avenue,DAVIS
University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento
University of California-Irvine,Main Campus,University of California,Irvine
University of California-Irvine,UCI Medical Center,101 The City Drive,Orange
University of California-Los Angeles,UCLA,405 HILGARD AVE,LOS ANGELES
University of California-Riverside,Main Campus,900 UNIVERSITY AVE,RIVERSIDE
University of California-San Diego,Main Campus,9500 GILMAN DR (0005),LA JOLLA
University of California-San Francisco,Main Campus,500 PARNASSUS AVE,SAN FRANCISCO
University of California-Santa Barbara,Main Campus,1209 Public Safety Building,SANTA BARBARA
University of California-Santa Cruz,Main Campus,1156 HIGH ST,SANTA CRUZ
Institute of Transpersonal Psychology,Institute of Transpersonal Psychology,1069 E. Meadow Circle,PALO ALTO
California Beauty School,Main Campus,1115 15TH ST,MODESTO
California Christian College,Main Campus,4881 E UNIVERSITY AVE,FRESNO
California College-San Diego,Main Campus,2820 CAMINO DEL RIO SOUTH,SUITE 300
California Culinary Academy,Main Campus,350 Rhode Island Street,Suite 300
California Hair Design Academy,California Hair Design Academy,Inc.,8011 UNIVERSITY AVENUE
California Institute of the Arts,Main Campus,24700 W MCBEAN PKY,VALENCIA
California Maritime Academy,The California  Maritime   Academy/CSU,200 Maritime Academy Drive,Vallejo
California Western School of Law,Main Campus,225 CEDAR ST,SAN DIEGO
Canada College,Canada College,4200 FARM HILL BLVD,REDWOOD CITY
College of the Canyons,College of the Canyons,26455 ROCKWELL CANYON RD,Valencia
Career Academy of Beauty,Main Campus,12471 VALLEY VIEW,WEST GARDEN GROVE
Casa Loma College-Van Nuys,Main Campus,6725 Kester Ave,VAN NUYS
Casa Loma College-Van Nuys,CASA LOMA COLLEGE-HAWTHORNE,12540 S. Crenshaw Blvd.,Hawthorne
CET-San Diego,Main Campus,3295 MARKET ST,SAN DIEGO
CET-Sobrato,Main Campus,701 VINE ST,SAN JOSE
CET-El Centro,Main Campus,294 S 3RD ST,EL CENTRO
CET-San Bernardino,CET-San Bernardino,1430 Cooley Court,San Bernardino
CET-Watsonville,Center for Employment Training,10 BLANCA LANE,WATSONVILLE
CET-Gilroy,Main Campus,7800 ARROYO CIR,SUITE C
CET-Salinas,Main Campus,421 MONTEREY ST,SALINAS
CET-Salinas,CET-Soledad,930 Los Coches Drive,Ste. 102
Cerritos College,Main Campus,11110 ALONDRA BLVD,NORWALK
Cerro Coso Community College,Main Campus,3000 COLLEGE HTS BLVD,RIDGECREST
Cerro Coso Community College,Kern River Valley,5520 Lake Isabella Blvd.,Lake Isabella
Cerro Coso Community College,Bishop,4090 w. Line St,Bishop
Cerro Coso Community College,Mammoth Lakes,101 College Parkway,Mammoth Lakes
Cerro Coso Community College,South Kern,140 Methusa Ave,Edwards AFB
Chabot College,Chabot College Campus,25555 HESPERIAN BLVD,HAYWARD
Chaffey College,Rancho Campus,5885 HAVEN AVE,RANCHO CUCAMONGA
Chapman University,Main Campus,One University Dr.,ORANGE
Charles Drew University of Medicine and Science,Main Campus,1731 E 120TH ST,LOS ANGELES
Concordia University,Main Campus,1530 Concordia West,Irvine
Concordia University,Regional Center,28780 Single Oak Drive Suite 120,Temecula
San Diego Christian College,Main Campus,2100 GREENFIELD DR,EL CAJON
Church Divinity School of the Pacific,Church Divinity School of the Pacific,2451 RIDGE RD,BERKELEY
Citrus College,Main Campus,1000 W Foothill Blvd.,Glendora
City College of San Francisco,City College of San Francisco,50 PHELAN AVE,SAN FRANCISCO
Claremont Graduate University,Main Campus,150 E TENTH ST,CLAREMONT
Claremont McKenna College,Main Campus,500 E 9TH ST,CLAREMONT
Milan Institute,Milan Institute / Visalia,3356 South Fairway,Visalia
Milan Institute,Milan Institute / Bakersfield,CA,2822 F Street
Cleveland Chiropractic College of Los Angeles,Main Campus,590 N VERMONT AVE,LOS ANGELES
Clovis Adult Education,Main Campus,1452 DAVID E COOK WAY,CLOVIS
Coastline Community College,Coastline College Center,11460 Warner Avenue,Fountain Valley
Coastline Community College,Garden Grove Center,12901 Euclid Street,Garden Grove
Coastline Community College,Costa Mesa Center,2990 Mesa Verde Drive East,Costa Mesa
Coastline Community College,Westminster (Le-Jao) Center,14120 All American Way,Westminster
Cogswell Polytechnical College,Main Campus,1175 BORDEAUX DR,SUNNYVALE
Coleman University,Coleman University,8888 Balboa Ave.,San Diego
COBA Academy,Main Campus,102 N GLASSELL ST,ORANGE
National Polytechnic College of Science,National Polytechnic College of Science,272 S FRIES AVE LOS ANGELES HARBOR /  Berth 183 Pier A Street,WILMINGTON
National Polytechnic College of Science,National Polytechnic College of Science,3580 Aero Court,San Diego
National Polytechnic College of Science,National Polytechnic College of Science,10 Sand Island Parkway,Honolulu
Western University of Health Sciences,Western University of Health Sciences,309 E 2ND ST,POMONA
Columbia College,Main Campus,11600 COLUMBIA COLLEGE DR,SONORA
Columbia College Hollywood,Main Campus,18618 OXNARD ST,TARZANA
El Camino College-Compton Center,El Camino College Compton Center,1111 East Artesia Blvd.,Compton
Western Beauty Institute,Main Campus,8700 Van Nuys Blvd,Panorama City
Contra Costa College,Main Campus,2600 MISSION BELL DR,SAN PABLO
Cosumnes River College,Cosumnes River College,8401 CENTER PKY,SACRAMENTO
Crafton Hills College,Main Campus,11711 SAND CANYON RD,YUCAIPA
Cuesta College,Cuesta College,HIGHWAY 1,SAN LUIS OBISPO
Cuesta College,Paso Robles Campus,2800 Bueana Vista,Paso Robles
Cuesta College,Arroyo Grande Campus,495 Valley Road,Arroyo Grande
Cuyamaca College,Cuyamaca College,900 RANCHO SAN DIEGO PKWY,EL CAJON
Cynthias Beauty Academy,Marinello School of Beauty-Bell,4210 E GAGE AVE,BELL
Cypress College,Main Campus,9200 VALLEY VIEW,CYPRESS
De Anza College,Main Campus,21250 STEVENS CREEK BLVD,CUPERTINO
California Beauty College,Marinello School of Beauty-Hemet,2627 W Florida Ave-Ste 100,200
International School of Beauty Inc,Main Campus,72261 Hwy 111 Ste 121-B,Palm Desert
Dell'Arte International School of Physical Theatre,Main Campus,131 H Street,BLUE LAKE
College of the Desert,All Campuses,43-500 MONTEREY ST,PALM DESERT
College of the Desert,Eastern Valley Center,44-199 Monroe St,Indio
Design Institute of San Diego,Main Campus,8555 COMMERCE AVE,SAN DIEGO
DeVry University-California,Pomona Campus,901 CORPORATE CTR DR,POMONA
DeVry University-California,Long Beach Campus,3880 Kilroy Airport Way,Long Beach
DeVry University-California,Sherman Oaks Campus,15301 Ventura Blvd,D-100
DeVry University-California,Fremont Campus,6600 Dumbarton Circle,Fremont
DeVry University-California,Irvine Center,403 Exchange,Suite 250
DeVry University-California,San Diego Center,2655 Camino Del Rio North,Ste 201
DeVry University-California,San Francisco Center,455 Market St.,Ste. 1650
DeVry University-California,Fresno Center,7575 N Fresno St,Fresno
DeVry University-California,Sacramento Center,2216 Kausen Drive,Elk Grove
DeVry University-California,Colton Center,1090 E Washington St,Suite H
DeVry University-California,San Jose Center,2160 Lundy Ave,Ste 250
DeVry University-California,Palmdale Center,39155 Trade Center Drive,Suite 100
DeVry University-California,Bakersfield Center,3000 Ming Avenue,Bakersfield
Diablo Valley College,Main Campus,321 GOLF CLUB RD,PLEASANT HILL
Dominican University of California,Dominican University of California,50 ACACIA AVE,SAN RAFAEL
Dominican School of Philosophy & Theology,Main Campus,2301 Vine Street,BERKELEY
East Los Angeles College,East Los Angeles College,1301 AVENIDA CESAR CHAVEZ,MONTEREY PARK
California Cosmetology College,Marinello School of Beauty-Santa Clara,955 MONROE ST,SANTA CLARA
San Diego Continuing Education,San Diego Community College District Continuing Education,4343 Ocean View Blvd,San Diego
San Diego Continuing Education,Aero Adult/Career Center,8401 Aero Drive,San Diego
San Diego Continuing Education,Skill/Welding Center,835 12th Avenue,San Diego
San Diego Continuing Education,Cesar Chavez Center,1960 National Avenue,San Diego
San Diego Continuing Education,Centre City,1400 Park Blvd.,San Diego
San Diego Continuing Education,Mid City Center,3792 Fairmont Avenue,San Diego
San Diego Continuing Education,West City Center - Point Loma Campus,3249 Fordham Street,San Diego
San Diego Continuing Education,West City Center - Clairemont Campus,3890 Modoc Street,San Diego
San Diego Continuing Education,West City Center - Mission Bay Campus,4375 Lee Street,San Diego
El Camino Community College District,Main Campus,16007 CRENSHAW BLVD,TORRANCE
Elegance International,Campus Hollywood,6752 Hollywood Boulevard,Hollywood
Marinello Schools of Beauty,Marinello School of Beauty-City of Industry,1600 Azusa Ave Ste 244,City of Industry
Marinello Schools of Beauty,Marinello School of Beauty-Burbank,200 SAN FERNANDO BLVD,BURBANK
Marinello Schools of Beauty,Marinello School of Beauty-Moreno Valley,24741 ALESSANDRO BLVD,MORENO VALLEY
Emperor's College of Traditional Oriental Medicine,Main Campus,1807 WILSHIRE BLVD,STE 200
Empire College School of Business,Main Campus,3035 CLEVELAND AVE,SANTA ROSA
Evergreen Valley College,Evergreen Valley Community College,3095 YERBA BUENA RD,SAN JOSE
The Fashion Institute of Design & Merchandising-Los Angeles,Main Campus,919 S GRAND AVE,LOS ANGELES
Fashion Careers College,Main Campus,1923 MORENA BLVD,SAN DIEGO
The Fashion Institute of Design & Merchandising-San Francisco,Branch Campus,55 STOCKTON ST,SAN FRANCISCO
The Fashion Institute of Design & Merchandising-Orange County,Branch Campus,17590 Gilette Ave,Irvine
Feather River Community College District,Main Campus,570 GOLDEN EAGLE AVE,QUINCY
Federico Beauty Institute,Main Campus,1515 Sports Drive,SACRAMENTO
Five Branches University,Main Campus,200 7TH AVE,SANTA CRUZ
Hair California Beauty Academy,Main Campus,1110 N Tustin St,Orange
Foothill College,Main Campus,12345 EL MONTE RD,LOS ALTOS HILLS
Franciscan School of Theology,Main Campus,1712 EUCLID AVE,BERKELEY
Fredrick and Charles Beauty College,Main Campus,831 F ST,EUREKA
Fresno City College,Main Campus,1101 E. UNIVERSITY AVE,FRESNO
Fresno City College,Career Technology Center,2930 East Annadale Avenue,Fresno
Fresno Pacific University,FRESNO PACIFIC UNIVERSITY,1717 S CHESTNUT AVE,FRESNO
Fuller Theological Seminary in California,Main Campus,135 N OAKLAND AVE,PASADENA
Fuller Theological Seminary in California,Southern California Extension,2061 Business Center Dr.,Suite 102
Fuller Theological Seminary in California,Northern California Extension,320 Middlefield Road,Menlo Park
Fuller Theological Seminary in California,Colorado Extension,540 North Cascade Avenue Suite 202,Colorado Springs
Fuller Theological Seminary in California,Northwest Extension,101 Nickerson Street,Suite 330
Fuller Theological Seminary in California,Southwest Extension,4646 East Van Buren Street,Suite 185
Fullerton College,FULLERTON COLLEGE,321 E CHAPMAN AVE,FULLERTON
Galen College of Medical and Dental Assistants,Modesto,1604 FORD AVE,MODESTO
Galen College of Medical and Dental Assistants,Main Campus,1325 N WISHON AVE,FRESNO
Gavilan College,Main Campus,5055 SANTA TERESA BLVD,GILROY
Gavilan College,Morgan Hill Community & Cultural Center,17060 Monterey St,Morgan Hill
Gavilan College,Brigg's Building,Hollister,365 4TH STREET
Gavilan College,Gavilan College Aviation,400 Skylane Dr.,Hollister
Gemological Institute of America,Main Campus,5345 ARMADA DR,CARLSBAD
Glendale Community College,Main Campus,1500 N. VERDUGO ROAD,GLENDALE
Glendale Community College,Garfield Campus,1122 E. GARFIELD AVENUE,GLENDALE
Glendale Career College,Main Campus,1015 GRANDVIEW AVE,GLENDALE
Golden Gate University-San Francisco,SAN FRANCISCO,536 MISSION ST,SAN FRANCISCO
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-MONTEREY,500 8TH STREET,MARINA
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-WALNUT CREEK,ONE YGNACIO CENTER - 2ND FLOOR ANNEX,WALNUT CREEK
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-LOS ANGELES,725 S. FIGUEROA STREET SUITE 1550,LOS ANGELES
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-ROSEVILLE,7 SIERRA GATE PLAZA,STE 102A
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-SEATTLE,1424 4TH AVENUE,STE 4F
Golden Gate University-San Francisco,GOLDEN GATE UNIVERSITY-SAN JOSE,50 AIRPORT PARKWAY,STE 150
Golden West College,Golden West College,15744 GOLDEN WEST,HUNTINGTON BEACH
Graduate Theological Union,Main Campus,2400 RIDGE RD,BERKELEY
Grossmont College,GROSSMONT COLLEGE,8800 GROSSMONT COLLEGE DR,EL CAJON
Hair Masters University,Hairmasters University of Beauty,208 W HIGHLAND AVE,SAN BERNARDINO
Harbor Occupational Center,Harbor Occupational Center,740 N Pacific Ave,San Pedro
Hartnell College,Main Campus,411 Central Avenue,SALINAS
