Noncampuscrime060708[1,2,3,4].csv
ITT Technical Institute-Rancho Cordova,Main Campus,10863 GOLD CENTER DR,RANCHO CORDOVA
Academy of Chinese Culture and Health Sciences,Main Campus,1601 CLAY ST,OAKLAND
The Academy of Radio and TV Broadcasting,Main Campus,16052 BEACH BLVD ST 263N,HUNTINGTON BEACH
Alameda Beauty College,ALAMEDA BEAUTY COLLEGE,2318 CENTRAL AVE,ALAMEDA
College of Alameda,Main Campus,555 Ralph Appezzato Memorial Parkway,ALAMEDA
Allan Hancock College,Santa Maria,800 S. College Drive,Santa Maria
Allan Hancock College,Lompoc Valley Center,One Hancock Drive,Lompoc
American Academy of Dramatic Arts-West,Los Angeles Campus,1336 N LA BREA,HOLLYWOOD
American Baptist Seminary of the West,American Baptist Seminary of the West,2606 DWIGHT WAY,BERKELEY
American Film Institute Conservatory,Main Campus,2021 N WESTERN AVE,LOS ANGELES
American Beauty College,Main Campus,16512 BELLFLOWER BLVD,BELLFLOWER
American Intercontinental University,Main Campus,12655 W. Jefferson Blvd,Los Angeles
American Career College,American Career College,4021 ROSEWOOD AVE 1ST FL,LOS ANGELES
American Conservatory Theater,Main Campus,30 GRANT AVE,SAN FRANCISCO
American River College,Main Campus,4700 COLLEGE OAK DR,SACRAMENTO
Everest College-Hayward,Everest College - Hayward,22336 Main Street,Hayward
Antelope Valley College,Main Campus,3041 West Avenue K,LANCASTER
Art Center College of Design,Hillside Campus,1700 LIDA ST,PASADENA
Art Center College of Design,South Campus,950 South Raymond Avenue,Pasadena
Associated Technical College,Main Campus,1670 WILSHIRE BLVD,LOS ANGELES
Associated Technical College,Main Campus,707 BROADWAY,STE. 300
Azusa Pacific University,Azusa (main campus),901 E. Alosta Ave.,AZUSA
Azusa Pacific University,Inland Empire Regional Center,685 E. Carnige Dr. Suite 100,San Bernardino
Azusa Pacific University,Orange County Regional Center,1915 Orangewood Ave. Suite 100,Orange
Azusa Pacific University,San Diego Regional Center,5353 Mission Center Rd. Ste. 300,San Diego
Azusa Pacific University,High Desert Regional Center,18422 Bear Valley Road,Victorville
Azusa Pacific University,Los Angeles Regional Center,3580 Wilshire Blvd #200,Los Angeles
Azusa Pacific University,Murrieta Regional Center,39573 Los Alamos Road,Murrietta
Azusa Pacific University,Ventura Regional Center,445 East Esplanade Dr #200,Oxnard
Bakersfield College,Main Campus,1801 Panorama Drive,Bakersfield
